enum_type,shortname,longname
NewYork,CLI,Clinton
NewYork,ESS,Essex
NewYork,FRA,Franklin
NewYork,HAM,Hamilton
NewYork,FUL,Fulton
NewYork,JEF,Jefferson
NewYork,LEW,Lewis
NewYork,MTG,Montgomery
NewYork,SCO,Scoharie
NewYork,STL,St. Lawrence
NewYork,ALL,Alleghany 
NewYork,BRM,Broome
NewYork,CAT,Cattaragus
NewYork,CAY,Cayuga
NewYork,CHA,Chautauqua
NewYork,CHE,Chemung
NewYork,CGO,Chenango
NewYork,COR,Cortland
NewYork,DEL,Delaware
NewYork,ERI,Erie
NewYork,GEN,Genesee
NewYork,HER,Herkimer
NewYork,LIV,Livingston
NewYork,MAD,Madison
NewYork,MON,Monroe
NewYork,NIA,Niagara
NewYork,ONE,Oneida
NewYork,ONO,Onondaga
NewYork,ONT,Ontario
NewYork,ORL,Orleans
NewYork,OSW,Oswego
NewYork,OTS,Otsego
NewYork,SCU,Schuyler
NewYork,SEN,Seneca
NewYork,STE,Steuben
NewYork,TIO,Tioga
NewYork,TOM,Tompkins
NewYork,WAY,Wayne
NewYork,WYO,Wyoming
NewYork,YAT,Yates
NewYork,ALB,Albany
NewYork,COL,Columbia
NewYork,DUT,Dutchess
NewYork,GRE,Greene
NewYork,ORA,Orange
NewYork,PUT,Putnam
NewYork,REN,Rensselaer
NewYork,ROC,Rockland
NewYork,SAR,Saratoga
NewYork,SCH,Schenectady
NewYork,SUL,Sullivan
NewYork,ULS,Ulster
NewYork,WAR,Warren
NewYork,WAS,Washington
NewYork,WES,Westchester
NewYork,NEW,New York
NewYork,BRX,Bronx
NewYork,KIN,Kings
NewYork,RIC,Richmond
NewYork,QUE,Queens,
NewYork,NAS,Nassau
NewYork,SUF,Suffolk
