enum_type,shortname,longname,altname
ARRLRAC,ME,Maine,ME
ARRLRAC,NH,New Hampshire,NH
ARRLRAC,VT,Vermont,VT
ARRLRAC,EMA,Eastern Massachusetts,EMA
ARRLRAC,WMA,Western Massachusetts,WMA
ARRLRAC,RI,Rhode Island,RI
ARRLRAC,CT,Connecticut,CT
ARRLRAC,NNY,Northern New York,NNY
ARRLRAC,ENY,Eastern New York,ENY
ARRLRAC,WNY,Western New York,WNY
ARRLRAC,NLI,New York City - Long Island,NLI
ARRLRAC,NNJ,Northern New Jersey,NNJ
ARRLRAC,SNJ,Southern New Jersey,SNJ
ARRLRAC,EPA,Eastern Pennsylvania,EPA
ARRLRAC,WPA,Western Pennsylvania,WPA
ARRLRAC,DE,Delaware,DE
ARRLRAC,MDC,Maryland - DC,MDC
ARRLRAC,VA,Virginia,VA
ARRLRAC,KY,Kentucky,KY
ARRLRAC,TN,Tennessee,TN
ARRLRAC,NC,North Carolina,NC
ARRLRAC,SC,South Carolina,SC
ARRLRAC,GA,Georgia,GA
ARRLRAC,AL,Alabama,AL
ARRLRAC,NFL,Northern Florida,NFL
ARRLRAC,WCF,West Central Florida,WCF
ARRLRAC,SFL,Southern Florida,SFL
ARRLRAC,MS,Mississippi,MS
ARRLRAC,AR,Arkansas,AR
ARRLRAC,LA,Louisiana,LA
ARRLRAC,NTX,Northern Texas,NTX
ARRLRAC,STX,Southern Texas,STX
ARRLRAC,WTX,Western Texas,WTX
ARRLRAC,OK,Oklahoma,OK
ARRLRAC,NM,New Mexico,NM
ARRLRAC,SV,Sacramento Valley,SV
ARRLRAC,SF,San Francisco,SF
ARRLRAC,EB,East Bay,EB
ARRLRAC,SCV,Santa Clara Valley,SCV
ARRLRAC,SJV,San Joaquin Valley,SJV
ARRLRAC,SB,Santa Barbara,SB
ARRLRAC,LAX,Los Angeles,LAX
ARRLRAC,ORG,Orange,ORG
ARRLRAC,SDG,San Diego,SDG
ARRLRAC,WWA,Western Washington,WWA
ARRLRAC,EWA,Eastern Washington,EWA
ARRLRAC,OR,Oregon,OR
ARRLRAC,ID,Idaho,ID
ARRLRAC,NV,Nevada,NV
ARRLRAC,AZ,Arizona,AZ
ARRLRAC,UT,Utah,UT
ARRLRAC,MT,Montana,MT
ARRLRAC,WY,Wyoming,WY
ARRLRAC,MI,Michigan,MI
ARRLRAC,OH,Ohio,OH
ARRLRAC,WV,West Virginia,WV
ARRLRAC,IN,Indiana,IN
ARRLRAC,IL,Illinois,IL
ARRLRAC,WI,Wisconsin,WI
ARRLRAC,MN,Minnesota,MN
ARRLRAC,IA,Iowa,IA
ARRLRAC,MO,Missouri,MO
ARRLRAC,KS,Kansas,KS
ARRLRAC,NE,Nebraska,NE
ARRLRAC,SD,South Dakota,SD
ARRLRAC,ND,North Dakota,ND
ARRLRAC,CO,Colorado,CO
ARRLRAC,AK,Alaska,AK
ARRLRAC,PAC,Pacific,PAC
ARRLRAC,PR,Puerto Rico,PR
ARRLRAC,VI,Virgin Islands,VI
ARRLRAC,MAR,Maritime,MAR
ARRLRAC,NL,Newfoundland/Labrador,NL
ARRLRAC,QC,Quebec,QC
ARRLRAC,ONE,Ontario East,ONE
ARRLRAC,GTA,Greater Toronto Area,GTA
ARRLRAC,ONS,Ontario South,ONS
ARRLRAC,ONN,Ontario North,ONN
ARRLRAC,MB,Manitoba,MB
ARRLRAC,SK,Saskatchewan,SK
ARRLRAC,AB,Alberta,AB
ARRLRAC,BC,British Columbia,BC
ARRLRAC,NT,Northern Territories,NT
DX,DX,DX,
USCan,CT,Connecticut,
USCan,MA,Massachusetts,
USCan,ME,Maine,
USCan,NH,New Hampshire,
USCan,RI,Rhode Island,
USCan,VT,Vermont,
USCan,NJ,New Jersey,
USCan,NY,New York,
USCan,DE,Delaware,
USCan,MD,Maryland ??? DC,
USCan,PA,Pennsylvania,
USCan,AL,Alabama,
USCan,FL,Florida,
USCan,GA,Georgia,
USCan,KY,Kentucky,
USCan,NC,North Carolina,
USCan,SC,South Carolina,
USCan,TN,Tennessee,
USCan,VA,Virginia,
USCan,AR,Arkansas,
USCan,LA,Louisiana,
USCan,MS,Mississippi,
USCan,NM,New Mexico,
USCan,OK,Oklahoma,
USCan,TX,Texas,
USCan,CA,California,
USCan,HI,Hawaii,
USCan,AK,Alaska,
USCan,AZ,Arizona,
USCan,ID,Idaho,
USCan,MT,Montana,
USCan,NV,Nevada,
USCan,OR,Oregon,
USCan,UT,Utah,
USCan,WA,Washington,
USCan,WY,Wyoming,
USCan,MI,Michigan,
USCan,OH,Ohio,
USCan,WV,West Virginia,
USCan,IL,Illinois,
USCan,IN,Indiana,
USCan,WI,Wisconsin,
USCan,CO,Colorado,
USCan,IA,Iowa,
USCan,KS,Kansas,
USCan,MN,Minnesota,
USCan,MO,Missouri,
USCan,ND,North Dakota,
USCan,NE,Nebraska,
USCan,SD,South Dakota,
USCan,MAR,Maritime,
USCan,NL,Newfoundland/Labrador,
USCan,QC,Quebec,
USCan,ON,Ontario,
USCan,MB,Manitoba,
USCan,SK,Saskatchewan,
USCan,AB,Alberta,
USCan,BC,British Columbia,
USCan,NT,Northern Territories,
assisted_cat,,ASSISTED,
assisted_cat,,NON-ASSISTED,
band_cat,,ALL,
band_cat,,160M,1800
band_cat,,80M,3500
band_cat,,40M,7000
band_cat,,20M,14000
band_cat,,15M,21000
band_cat,,10M,28000
band_cat,,6M,50
band_cat,,2M,14
band_cat,,222,222
band_cat,,432,432
band_cat,,902,902
band_cat,,1.2G,
band_cat,,2.3G,
band_cat,,3.4G,
band_cat,,5.7G,
band_cat,,10G,
band_cat,,24G,
band_cat,,47G,
band_cat,,75G,
band_cat,,119G,
band_cat,,142G,
band_cat,,241G,
band_cat,,Light,
mode_cat,,SSB,PH
mode_cat,,CW,CW
mode_cat,,RTTY,RY
mode_cat,,MIX ED,
operator_cat,,SINGLE-OP,
operator_cat,,MULTI-OP,
operator_cat,,CHECKLOG,
power,,HIGH,
power,,LOW,
power,,QRP,
station_cat,,FIXED,
station_cat,,MOBILE,
station_cat,,PORTABLE,
station_cat,,ROVER,
station_cat,,EXPEDITION,
station_cat,,HQ,
station_cat,,SCHOOL,
time_cat,,6-HOURS,
time_cat,,12-HOURS,
time_cat,,24-HOURS,
transmitter_cat,,ONE,
transmitter_cat,,TWO,
transmitter_cat,,LIMITED,
transmitter_cat,,UNLIMITED,
transmitter_cat,,SWL,
overlay_cat,,CLASSIC,
overlay_cat,,ROOKIE,
overlay_cat,,TB-WIRES,
overlay_cat,,NOVICE-TECH,
overlay_cat,,OVER-50,
overlay_cat,,YL CLASS,
overlay_cat,,YOUTH 12 AND UNDER,
overlay_cat,,YOUTH,
